Net_ID,Property,Param_set,Safe,Time_elapsed
nav,thesis_main_policy_net,GlobalReach,Over-Approx,True,7.800232724985108
nav,thesis_main_policy_net,GlobalReach,Mixed,True,7.974533136934042
nav,thesis_main_policy_net,Local1,Over-Approx,True,7.222594465129077
nav,thesis_main_policy_net,Local1,Mixed,True,7.378981260815635
nav,thesis_main_policy_net,Local2,Over-Approx,True,7.1976935679558665
nav,thesis_main_policy_net,Local2,Mixed,True,7.120409471914172
nav,thesis_main_policy_net,Local3,Over-Approx,True,7.086364732123911
nav,thesis_main_policy_net,Local3,Mixed,True,7.154659682884812
nav,thesis_main_policy_net,GlobalPartial,Over-Approx,True,7.6393776659388095
nav,thesis_main_policy_net,GlobalPartial,Mixed,True,8.205591371050104
nav,thesis_main_policy_net,SpeedThreshold,Over-Approx,True,7.452737787971273
nav,thesis_main_policy_net,SpeedThreshold,Mixed,True,8.05926168197766
